Well,SampleIndex/'Well',PetID,PetName,Origin,CollectionDate,VialID,SampleType,LabelColor,Symptomatic,ExtractDate,TotalDNA,TotalRNA,LibraryPrepStartDate,SubmittedForSequencingDate,SentToCornellDate,AdoptedDate,Notes1,Notes2,Notes3
1,1,195349,Tiny,OHS,10/25/16,SMB-1610-294,rectal,blue,Y,11/30/17,0.175,0.73,,,,,Difficulty breathing/cough/cold,,
2,2,195319,Squeak,OHS?,10/25/16,SMB-1610-295,rectal,blue,Y,11/30/17,0.879,0.41,,,,28/10/16,,,
3,3,195352,Bismark,OHS?,10/25/16,SMB-1610-292,rectal,blue,N,11/30/17,0.144,not detected,,,,28/10/16,,,
4,4,195356,Michelle,OHS?,10/25/16,SMB-1610-293,rectal,blue,N,11/30/17,1.76,0.866,,,,26/10/16,,Adopted as of 28/10/16,
5,5,195353,Blue/Osborne,OHS?,10/25/16,SMB-1610-291,rectal,blue,Y,11/30/17,0.479,0.49,,,,,Kennel cough,Adopted as of 28/10/16; Same number for Blue/Osborne? Same dog?? Also see 195360,
6,6,195319,Squeak,OHS?,10/25/16,SMB-1610-230,nasal,orange,Y,11/30/17,0.184,not determined,2/8/18,2/14/18,2/6/18,28/10/16,kennel cough,,
7,7,195349,Tiny,OHS,10/25/16,SMB-1610-229,nasal,orange,Y,11/30/17,7.07,0.95,2/8/18,2/14/18,2/6/18,,Difficulty breathing/cough/cold,,
8,8,195319,Squeak,OHS?,10/25/16,SMB-1610-231,nasal,orange,Y,11/30/17,0.184,not detected,2/8/18,2/14/18,2/6/18,28/10/16,kennel cough,,
9,9,195349,Tiny,OHS,10/25/16,SMB-1610-228,nasal,orange,Y,11/30/17,3.73,0.772,2/8/18,2/14/18,2/6/18,,Difficulty breathing/cough/cold,,
10,10,195356,Michelle,OHS?,10/25/16,SMB-1610-227,nasal,orange,N,11/30/17,0.011,not detected,2/8/18,2/14/18,2/6/18,26/10/16,,Adopted as of 28/10/16,
11,11,195350,Lil Guy,OHS?,10/21/16,SMB-1610-44,nasal,orange,N,12/5/17,0.527,not detected,2/8/18,2/14/18,2/6/18,22/10/16,same kennel,,
12,12,195348,Mort/Kobe,OHS?,10/21/16,SMB-1610-45,nasal,orange,N,12/5/17,0.0944,not detected,2/8/18,2/14/18,2/6/18,21/10/16,same kennel,,
13,13,195332,Baxter,OHS?,10/21/16,SMB-1610-46,nasal,orange,N,12/5/17,2.19,0.42,2/8/18,2/14/18,2/6/18,23/10/16,,,
14,14,195357,Miracle,OHS?,10/21/16,SMB-1610-47,nasal,orange,N,12/5/17,0.0267,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
15,15,195312,Teller,OHS?,10/21/16,SMB-1610-48,nasal,orange,N,12/5/17,0.0275,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
16,16,195356,Michelle,OHS?,10/21/16,SMB-1610-49,nasal,orange,N,12/5/17,0.113,not detected,2/8/18,2/14/18,2/6/18,26/10/16,,Adopted as of 28/10/16,
17,17,195351,Abigail1,OHS?,10/21/16,SMB-1610-50,nasal,orange,N,12/5/17,3.18,0.742,2/8/18,2/14/18,2/6/18,22/10/16,See Abigail 2: 195669,,
18,18,195333,Monte,OHS?,10/21/16,SMB-1610-51,nasal,orange,N,12/5/17,0.0598,not detected,2/8/18,2/14/18,2/6/18,21/10/16,,,
19,19,195354,Kaine,OHS?,10/21/16,SMB-1610-52,nasal,orange,N,12/5/17,0.0243,not detected,2/8/18,2/14/18,2/6/18,21/10/16,,,
20,20,195349,Tiny,OHS,10/21/16,SMB-1610-53,nasal,orange,N,12/5/17,0.106,not detected,2/8/18,2/14/18,2/6/18,,,,
