,Well,MS2,CADEN,BCOR,BORD,DIS,MCYN,PINF,PNVPCR,SZ,Type
1,1,NA,NA,17.989,NA,NA,16.828,21.462,18.749,NA,
2,2,NA,17.427,NA,NA,20.149,18.755,NA,19.478,NA,
3,3,NA,NA,NA,NA,NA,14.282,NA,NA,21.2,
4,4,NA,NA,NA,NA,NA,17.246,NA,18.107,NA,
5,5,NA,17.828,NA,NA,NA,16.712,NA,17.874,NA,
6,6,NA,NA,NA,15.907,NA,18.003,NA,14.125,NA,
7,7,NA,NA,9.33,NA,NA,2.775,25.337,6.771,NA,
8,8,NA,NA,17.846,14.659,NA,16.281,NA,14.132,NA,
9,9,NA,NA,9.263,NA,NA,2.935,20.894,6.096,NA,
10,10,NA,NA,17.911,NA,NA,17.775,NA,5.936,NA,
11,11,NA,NA,12.785,NA,NA,20.006,NA,NA,NA,
12,12,NA,18.875,16.174,17.205,19.746,19.465,13.428,NA,NA,
13,13,NA,NA,NA,16.314,NA,19.906,18.206,3.586,NA,
14,14,NA,NA,NA,NA,NA,19.184,NA,20.745,NA,
15,15,NA,NA,14.33,18.488,NA,NA,NA,11.546,NA,
16,16,NA,NA,4.622,17.001,NA,18.738,20.393,NA,NA,
17,17,NA,NA,18.443,17.423,NA,NA,16.391,NA,NA,
18,18,NA,NA,NA,16.072,NA,15.812,NA,20.203,NA,
19,19,NA,NA,NA,NA,NA,16.466,NA,18.924,NA,
20,20,NA,NA,9.045,19.171,NA,18.136,11.459,18.422,NA,
21,21,NA,NA,NA,17.847,NA,19.646,NA,NA,NA,
22,22,NA,NA,NA,19.836,NA,18.345,NA,NA,NA,
23,23,NA,NA,19.219,NA,NA,NA,NA,11.105,NA,
24,24,NA,NA,NA,NA,NA,18.995,NA,10.866,NA,
25,25,NA,17.708,10.777,NA,NA,NA,NA,9.298,NA,
26,26,NA,19.399,12.668,NA,NA,NA,NA,10.164,NA,
27,27,NA,NA,NA,NA,NA,4.379,20.165,13.922,NA,
28,28,NA,NA,NA,NA,NA,4.541,NA,14.471,NA,
29,29,NA,NA,20.22,NA,NA,17.841,NA,5.018,NA,
30,30,NA,NA,8.482,15.099,NA,NA,NA,7.685,NA,
31,31,NA,NA,12.933,20.364,NA,17.625,24.185,5.843,NA,
32,32,NA,NA,NA,13.004,NA,3.254,NA,20.074,NA,
33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,34,NA,NA,NA,NA,NA,19.454,NA,20.277,NA,
35,35,NA,NA,18.618,14.914,NA,19.442,NA,19.115,NA,
36,36,NA,NA,18.1,NA,NA,3.066,NA,6.927,NA,
37,37,NA,NA,NA,NA,NA,19.327,NA,NA,NA,
38,38,NA,NA,12.722,NA,NA,18.822,NA,8.602,NA,
39,39,NA,NA,7.81,18.065,18.878,18.528,NA,6.875,NA,
40,40,NA,NA,NA,NA,NA,NA,NA,11.375,NA,
41,41,NA,NA,NA,NA,NA,19.094,NA,NA,NA,
42,42,NA,NA,5.907,19.925,18.034,12.644,NA,7.481,NA,
43,43,NA,NA,18.493,NA,NA,4.254,NA,14.989,NA,
44,44,NA,NA,NA,NA,NA,13.079,NA,20.401,NA,
45,45,NA,NA,NA,NA,NA,19.151,NA,16.863,NA,
46,46,NA,NA,16.243,NA,NA,16.21,NA,17.34,NA,
47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,48,NA,12.867,15.623,NA,NA,15.747,11.58,3.725,NA,
49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,
50,50,NA,NA,19.209,NA,NA,18.876,NA,19.521,NA,
51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,52,NA,NA,NA,14.353,NA,NA,NA,17.921,NA,
53,53,NA,NA,14.085,NA,NA,NA,19.025,NA,NA,
54,54,NA,NA,NA,18.71,19.691,2.763,NA,15.384,NA,
55,55,NA,NA,9.933,NA,NA,NA,NA,16.514,NA,
56,56,NA,NA,NA,NA,NA,NA,NA,13.793,NA,
57,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,
58,58,NA,NA,3.77,NA,NA,16.821,NA,3.827,NA,
59,59,NA,NA,NA,NA,NA,2.776,NA,16.891,NA,
60,60,NA,NA,14.39,NA,NA,NA,9.959,7.327,NA,
61,61,NA,NA,11.897,16.641,NA,19.444,NA,NA,NA,
62,62,NA,NA,15.844,16.332,NA,15.939,NA,5.498,NA,
63,63,NA,NA,5.907,15.233,NA,14.578,16.778,NA,NA,
64,64,NA,NA,10.688,NA,NA,NA,NA,NA,NA,
65,65,NA,NA,NA,11.792,NA,17.225,NA,NA,NA,
66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,
67,67,NA,NA,6.395,16.8,NA,NA,16.75,NA,NA,
68,68,NA,NA,NA,NA,NA,17.457,NA,18.784,NA,
69,69,NA,15.321,13.8,NA,NA,17.619,10.623,NA,NA,
70,70,NA,NA,NA,NA,NA,17.833,NA,NA,NA,
71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,
72,72,NA,NA,NA,NA,NA,18.89,NA,NA,NA,
73,73,NA,10.519,NA,13.853,18.961,NA,17.933,NA,NA,
74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,
75,75,NA,NA,3.607,NA,NA,NA,17.48,NA,NA,
76,76,NA,10.598,15.977,13.987,NA,NA,9.938,NA,NA,
77,77,NA,10.232,18.358,17.157,18.231,NA,10.079,NA,NA,
78,78,NA,NA,7.117,14.732,NA,NA,NA,NA,NA,
79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,
80,80,NA,NA,NA,NA,NA,13.705,NA,NA,NA,
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NACA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NECA
83,NA,13.538,16.249,12.506,13.735,13.254,15.879,11.914,14.921,14.298,PAC1A
84,NA,13.535,NA,NA,NA,NA,NA,NA,NA,NA,PAC2A
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NACB
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NECB
87,NA,11.752,14.557,11.111,12.345,11.765,15.603,10.224,13.048,13.445,PAC1B
88,NA,11.614,NA,NA,NA,NA,NA,NA,NA,NA,PAC2B
89,81,NA,19.298,21.506,NA,NA,NA,15.433,NA,NA,
90,82,NA,NA,NA,NA,NA,6.805,NA,19.888,NA,
91,83,NA,NA,NA,NA,19.227,3.668,NA,NA,NA,
92,84,NA,NA,NA,NA,NA,20.011,NA,NA,NA,
93,85,NA,NA,16.004,NA,NA,19.74,NA,NA,NA,
94,86,NA,8.829,NA,20.447,NA,19.879,NA,NA,NA,
95,87,NA,NA,NA,NA,NA,17.18,NA,NA,NA,
96,88,NA,16.767,NA,NA,15.51,19.155,NA,NA,NA,
97,89,NA,NA,NA,NA,NA,10.558,NA,19.827,NA,
98,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,
99,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,
100,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,
101,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,
102,94,NA,NA,NA,NA,NA,14.684,NA,18.768,NA,
103,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,
104,96,NA,NA,NA,NA,NA,18.284,NA,NA,NA,
105,97,NA,NA,NA,NA,NA,16.855,16.686,NA,NA,
106,98,NA,NA,NA,19.843,NA,NA,NA,NA,NA,
107,99,NA,NA,NA,NA,NA,3.004,20.476,NA,NA,
108,100,NA,NA,NA,NA,19.174,19.946,7.098,NA,NA,
109,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,
110,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,
111,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,
112,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,
113,105,NA,NA,14.746,NA,NA,19.652,NA,NA,NA,
114,106,NA,NA,8.599,15.389,NA,NA,NA,4.492,NA,
115,107,NA,NA,6.949,NA,NA,NA,NA,18.87,NA,
116,108,NA,NA,NA,NA,NA,NA,10.134,NA,NA,
117,109,NA,NA,NA,NA,16.447,2.422,NA,16.319,NA,
118,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,
119,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,
120,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,
121,113,NA,NA,NA,NA,18.732,8.985,NA,NA,NA,
122,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,
123,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,
124,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,
125,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,
126,118,NA,NA,NA,NA,NA,19.663,NA,NA,NA,
127,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,
128,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,
129,121,NA,NA,NA,NA,NA,18.991,NA,NA,NA,
130,122,NA,NA,9.709,13.637,NA,NA,NA,11.839,NA,
131,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,
132,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,
133,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,
134,NA,13.731,15.956,12.576,13.737,13.428,15.258,9.164,14.514,14.105,CRP 4-2
135,NA,13.476,NA,NA,NA,NA,NA,NA,NA,NA,ERP 4-2
136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAC
137,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,
138,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,
139,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,
140,129,NA,NA,NA,18.77,NA,NA,NA,7.674,NA,
141,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,
142,131,NA,NA,NA,18.265,NA,19.072,18.387,NA,NA,
143,132,NA,NA,NA,16.4,NA,NA,7.756,NA,NA,
144,133,NA,NA,16.344,10.709,NA,20.105,16.478,NA,NA,
145,134,NA,NA,NA,13.056,NA,19.358,NA,10.667,NA,
146,135,NA,NA,4.725,19.633,NA,NA,NA,NA,NA,
147,136,NA,NA,11.173,NA,NA,NA,NA,17.997,NA,
148,137,NA,NA,15.204,19.865,NA,19.601,19.88,16.34,NA,
149,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,
150,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,
151,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,
152,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,
153,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,
154,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,
155,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,
156,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,
157,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,
158,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,
159,148,NA,NA,NA,NA,NA,19.063,NA,NA,NA,
160,149,NA,NA,NA,NA,NA,18.363,NA,NA,NA,
161,NA,13.398,16.071,12.292,13.611,13.228,15.672,11.806,14.623,14.121,CRP 4-2 (oregon)
